Date,Name,Year,Letterboxd URI,Rating
2021-08-02,Stand by Me,1986,https://boxd.it/2aOe,5
2021-08-02,My Neighbor Totoro,1988,https://boxd.it/20eA,3.5
2021-08-02,Whisper of the Heart,1995,https://boxd.it/17uy,4
2021-08-02,1917,2019,https://boxd.it/jj4y,4
2021-08-02,Still Alice,2014,https://boxd.it/8Nhq,3.5
2021-08-02,The Theory of Everything,2014,https://boxd.it/7YtA,3.5
2021-08-02,Dallas Buyers Club,2013,https://boxd.it/4O8G,3.5
2021-08-02,A Silent Voice,2016,https://boxd.it/d99c,3.5
2021-08-02,Dunkirk,2017,https://boxd.it/d0Y6,4
2021-08-02,Kicking and Screaming,1995,https://boxd.it/1pHK,4
2021-08-02,GoodFellas,1990,https://boxd.it/29FA,4.5
2021-08-02,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2021-08-02,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2021-08-02,Yesterday,2019,https://boxd.it/iF7M,2.5
2021-08-03,The Seventh Seal,1957,https://boxd.it/2ahO,5
2021-08-03,12 Angry Men,1957,https://boxd.it/2auI,5
2021-08-03,The Graduate,1967,https://boxd.it/18Im,4
2021-08-05,Citizen Kane,1941,https://boxd.it/71O,5
2021-08-05,Vertigo,1958,https://boxd.it/2apI,3
2021-08-05,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2021-08-05,For a Few Dollars More,1965,https://boxd.it/29eu,4.5
2021-08-06,Rushmore,1998,https://boxd.it/1TAO,3
2021-08-06,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4
2021-08-06,Dirty Harry,1971,https://boxd.it/299E,4
2021-08-07,Moonlight,2016,https://boxd.it/d6bE,4
2021-08-07,The King of Comedy,1982,https://boxd.it/2aJS,3.5
2021-08-07,Primer,2004,https://boxd.it/6YA,1.5
2021-08-08,"Paris, Texas",1984,https://boxd.it/29Ts,5
2021-08-12,Princess Mononoke,1997,https://boxd.it/2b4w,3
2021-08-15,Punch-Drunk Love,2002,https://boxd.it/20E4,4
2021-08-15,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2021-08-16,The Royal Tenenbaums,2001,https://boxd.it/1YHU,5
2021-08-16,Grave of the Fireflies,1988,https://boxd.it/1RUM,2
