Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-01-25,John Wick,2014,https://boxd.it/3L3Oi3,2.5,,,2023-01-24
2023-01-28,The Menu,2022,https://boxd.it/3LZ78Z,3,,,2023-01-27
2023-02-06,X,2022,https://boxd.it/3OHpG7,3,,,2023-02-05
2023-02-12,The Banshees of Inisherin,2022,https://boxd.it/3QjnpX,3,,,2023-02-05
2023-02-20,"Argentina, 1985",2022,https://boxd.it/3SKOw9,4,,,2023-02-08
2023-02-20,Triangle of Sadness,2022,https://boxd.it/3SBtat,2.5,,,2023-02-18
2023-02-20,The Secret in Their Eyes,2009,https://boxd.it/3SKOHB,5,,,2023-02-19
2023-02-26,Clue,1985,https://boxd.it/3UpiKJ,4.5,,,2023-02-25
2023-02-27,Everything Everywhere All at Once,2022,https://boxd.it/3ULLXL,4,Yes,,2023-02-26
2023-03-05,The Prestige,2006,https://boxd.it/3WgNLt,3,,,2023-03-04
2023-03-14,Interstellar,2014,https://boxd.it/3YJN4F,4.5,,,2023-03-12
2023-03-16,Scream,1996,https://boxd.it/3ZgFqz,3.5,,,2023-03-14
2023-03-21,The Simpsons Movie,2007,https://boxd.it/40M7cV,4.5,Yes,,2023-03-20
2023-03-24,The Game,1997,https://boxd.it/41vUd9,3,,,2023-03-23
2023-03-25,The Social Network,2010,https://boxd.it/41KAJf,5,,,2023-03-24
2023-04-02,10 Things I Hate About You,1999,https://boxd.it/43Uvux,3.5,,,2023-04-01
2023-04-08,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/45x4ax,4,Yes,,2023-04-03
2023-04-08,The Lord of the Rings: The Two Towers,2002,https://boxd.it/45x2Uj,5,Yes,,2023-04-07
2023-04-09,The Departed,2006,https://boxd.it/45U5J5,4,Yes,,2023-04-08
2023-05-02,Pride & Prejudice,2005,https://boxd.it/4c14MZ,4.5,,,2023-04-29
2023-05-02,Doctor Sleep,2019,https://boxd.it/4c5r0R,2,,,2023-05-01
2023-05-07,A Man Called Otto,2022,https://boxd.it/4dpSZ7,3,,,2023-05-06
2023-05-11,Cha Cha Real Smooth,2022,https://boxd.it/4exyvr,2.5,,não é drive mas poderia ser,2023-05-10
2023-05-15,Suzume,2022,https://boxd.it/4foLun,5,,,2023-05-14
2023-05-18,Guardians of the Galaxy,2014,https://boxd.it/4ganBF,3.5,Yes,,2023-05-16
2023-05-18,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4gamiR,2,,muito bom deveria ter esperado sair no disney+,2023-05-17
2023-05-21,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/4gPDGX,4,,,2023-05-20
2023-05-22,Avengers: Infinity War,2018,https://boxd.it/4h7xBj,4.5,Yes,,2023-05-20
2023-05-22,Broker,2022,https://boxd.it/4h7wib,4,,,2023-05-21
2023-05-24,Avengers: Endgame,2019,https://boxd.it/4hFOOR,4,Yes,,2023-05-23
