Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-10-18,Mars One,2022,https://boxd.it/3kNa6Z,4.5,,:'),,2022-10-12
2022-10-30,The Second Mother,2015,https://boxd.it/3nobK9,4.5,,Second mother é o Caralho letra caixa  D é que horas ela volta seus gringo safado,,2022-10-29
2022-11-16,Charcoal,2022,https://boxd.it/3r4XNL,4,,The average cidadão do bem,,2022-11-15
2022-11-20,Neighboring Sounds,2012,https://boxd.it/3rRhIx,3.5,,"Cara, eu tenho uma vizinha que toda vez que rola um assalto a 5km do meu prédio a abençoada fica plantada no saguão reclamando pra quem puder e vier sobre como é um absurdo, tá tudo perigoso, que viu no datena, e a síndica não sei o que, e eu lá falando ""foda..."" 10 vez por minuto só querenro ir no mercado comprar alho pra terminar o meu almoço. 


Enfim, bom filme. Dona Lívia, esse filme é pra você, sua sem noção do Caralho",,2022-11-19
2022-11-24,Wild Tales,2014,https://boxd.it/3sHXl5,3,,Coringou legal,,2022-11-23
2022-12-07,The Third Man,1949,https://boxd.it/3vq3NZ,2.5,,Um dos maiores feitos da minha vida foi não ter desistido de ver esse filme no meio e não valeu a pena,,2022-12-06
2022-12-12,Aftersun,2022,https://boxd.it/3wvdLX,5,,Homem adquire depressão profunda após se casar com Phoebe Bridgers,,2022-12-11
2023-01-11,Glass Onion,2022,https://boxd.it/3Gsr9d,3.5,,No centro da cebola tem um final ruim,,2023-01-08
2023-01-15,Decision to Leave,2022,https://boxd.it/3HRQv3,3.5,,Omg shes soooo Crazy,,2023-01-14
2023-01-16,See How They Run,2022,https://boxd.it/3IfdqV,1.5,,"Tentou tanto ser Wes Anderson que esqueceu de fazer um filme bom (mas ele é auto consciente, então tudo bem!!!!)",,2023-01-15
2023-01-18,Bullet Train,2022,https://boxd.it/3ITKY7,3.5,,Divertidíssimo!!!!!,,2023-01-17
2023-01-28,The Menu,2022,https://boxd.it/3LZ78Z,3,,Ratatouille did It First,,2023-01-27
2023-03-05,The Prestige,2006,https://boxd.it/3WgNLt,3,,Nolan é literalmente o cara que vê Rick and Morty porque tem um QI iradissimo,,2023-03-04
2023-03-14,Interstellar,2014,https://boxd.it/3YJN4F,4.5,,Melhor do que eu me lembrava,,2023-03-12
2023-03-16,Scream,1996,https://boxd.it/3ZgFqz,3.5,,Esse filme nunca aconteceria hj pq só telemarketing faz ligação,,2023-03-14
2023-03-21,The Simpsons Movie,2007,https://boxd.it/40M7cV,4.5,Yes,Cinema.,,2023-03-20
2023-03-24,The Game,1997,https://boxd.it/41vUd9,3,,"What a Twist! (X98)

Tirando os Twists e a paranóia constante, achei um filme bem ok e provavelmente vou esquecer dele em duas semanas",,2023-03-23
2023-03-25,The Social Network,2010,https://boxd.it/41KAJf,5,,"Direção incrível
Roteiro espetacular
Atuação absurda
Tem Brasileiro
Tem king of zap zap

Cinema, porra",,2023-03-24
2023-04-02,10 Things I Hate About You,1999,https://boxd.it/43Uvux,3.5,,Exala energia anos 2000,,2023-04-01
2023-04-08,The Lord of the Rings: The Two Towers,2002,https://boxd.it/45x2Uj,5,Yes,"O terceiro filme é tão bom, mas tão bom que faz esse filme perfeito parecer pior do que é",,2023-04-07
2023-04-08,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/45x4ax,4,Yes,"Diálogos bons mas ritmo bem chatão, filme só começa de verdade quando eles saem de valfenda",,2023-04-03
2023-04-09,The Departed,2006,https://boxd.it/45U5J5,4,Yes,"O Scorcese só ligou as câmeras e nem falou pro Jack Nicholson que ele estava num filme, ele é desse jeito mesmo",,2023-04-08
2023-05-02,Doctor Sleep,2019,https://boxd.it/4c5r0R,2,,"Coitado ewan, te arrastaram pra isso",,2023-05-01
2023-05-11,Cha Cha Real Smooth,2022,https://boxd.it/4exyvr,2.5,,Meu mano só queria ser padrasto,não é drive mas poderia ser,2023-05-10
2023-05-15,Suzume,2022,https://boxd.it/4foLun,5,,Ele transcendeu. Ele transcendeu ao nível ghibli,,2023-05-14
2023-05-18,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4gamiR,2,,Objetivamente o pior dos três. Cringei forte quando eles começaram a dançar,muito bom deveria ter esperado sair no disney+,2023-05-17
2023-05-18,Guardians of the Galaxy,2014,https://boxd.it/4ganBF,3.5,Yes,Filme divertido é divertido,,2023-05-16
2023-05-21,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/4gPDGX,4,,Simplesmente o filme mais divertido da Marvel,,2023-05-20
2023-05-22,Broker,2022,https://boxd.it/4h7wib,4,,Filme mais wholesome sobre tráfego humano que já vi,,2023-05-21
2023-05-22,Avengers: Infinity War,2018,https://boxd.it/4h7xBj,4.5,Yes,"Como caíste desde esse filme, Marvel",,2023-05-20
2023-05-24,Avengers: Endgame,2019,https://boxd.it/4hFOOR,4,Yes,Jovem de 25 anos revê filmes da Marvel buscando migalhas de dopamina tentando se lembrar como era ser criança meu Deus do céu o capitão América pegou o martelo porraaaaaa,,2023-05-23
