Date,Name,Year,Letterboxd URI
2022-01-09,The Lost Daughter,2021,https://boxd.it/kgww
2022-01-15,"tick, tick...BOOM!",2021,https://boxd.it/jz2e
2022-01-16,Eternals,2021,https://boxd.it/j36o
2022-01-16,The Hand of God,2021,https://boxd.it/r5uI
2022-01-17,The Summit of the Gods,2021,https://boxd.it/qFIu
2022-01-20,The Worst Person in the World,2021,https://boxd.it/oyws
2022-01-26,Happy Together,1997,https://boxd.it/1Ha0
2022-01-30,The Matrix Resurrections,2021,https://boxd.it/n87k
2022-01-30,Dune,2021,https://boxd.it/fA7G
2022-02-04,Inside Llewyn Davis,2013,https://boxd.it/34Ro
2022-02-05,When Harry Met Sally...,1989,https://boxd.it/29W2
2022-02-06,All About My Mother,1999,https://boxd.it/2b9c
2022-02-06,Drive My Car,2021,https://boxd.it/sv94
2022-02-11,Raw,2016,https://boxd.it/dLd2
2022-02-12,The Favourite,2018,https://boxd.it/d2hI
2022-02-27,Fallen Angels,1995,https://boxd.it/1UkW
2022-03-06,It's a Wonderful Life,1946,https://boxd.it/28xA
2022-03-11,Casablanca,1942,https://boxd.it/2aG0
2022-03-14,Anatomy of a Murder,1959,https://boxd.it/2baa
2022-04-03,CODA,2021,https://boxd.it/tbf4
2022-04-04,The Batman,2022,https://boxd.it/eDGs
2022-04-23,Hereditary,2018,https://boxd.it/hNVe
2022-06-05,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc
2022-06-06,Forgotten,2017,https://boxd.it/hAJE
2022-06-19,Braveheart,1995,https://boxd.it/2aTI
2022-06-28,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-06-28,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2
2022-07-18,Alien,1979,https://boxd.it/2awY
2022-07-31,Lunana: A Yak in the Classroom,2019,https://boxd.it/ndMM
2022-08-02,Coco,2017,https://boxd.it/bYJQ
2022-08-29,Nope,2022,https://boxd.it/sDCe
2022-09-08,The Call,2020,https://boxd.it/l94W
2022-09-11,Juno,2007,https://boxd.it/210a
2022-10-02,Petite Maman,2021,https://boxd.it/s6je
2022-10-02,Dial M for Murder,1954,https://boxd.it/2adW
2022-10-08,Licorice Pizza,2021,https://boxd.it/qTKY
2022-10-10,The Blair Witch Project,1999,https://boxd.it/26ua
2022-10-18,Mars One,2022,https://boxd.it/yoPa
2022-10-30,The Second Mother,2015,https://boxd.it/9Ydm
2022-11-10,Sorry to Bother You,2018,https://boxd.it/f21E
2022-11-13,Blue Velvet,1986,https://boxd.it/29BI
2022-11-16,Charcoal,2022,https://boxd.it/wVge
2022-11-20,Neighboring Sounds,2012,https://boxd.it/3nzS
2022-11-21,The Platform,2019,https://boxd.it/mUm6
2022-11-24,Wild Tales,2014,https://boxd.it/7UmK
2022-11-28,C'mon C'mon,2021,https://boxd.it/nrI0
2022-12-07,The Third Man,1949,https://boxd.it/294E
2022-12-12,Aftersun,2022,https://boxd.it/Arw0
2023-01-11,Glass Onion,2022,https://boxd.it/oCkK
2023-01-15,Decision to Leave,2022,https://boxd.it/qp9e
2023-01-16,See How They Run,2022,https://boxd.it/sNVq
2023-01-18,Bullet Train,2022,https://boxd.it/qW26
2023-01-25,John Wick,2014,https://boxd.it/7dEc
2023-01-28,The Menu,2022,https://boxd.it/lScm
2023-02-06,X,2022,https://boxd.it/sxVa
2023-02-12,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-02-20,Triangle of Sadness,2022,https://boxd.it/hXlq
2023-02-20,"Argentina, 1985",2022,https://boxd.it/qLxM
2023-02-20,The Secret in Their Eyes,2009,https://boxd.it/1vWw
2023-02-26,Clue,1985,https://boxd.it/1MDQ
2023-03-05,The Prestige,2006,https://boxd.it/293w
2023-03-14,Interstellar,2014,https://boxd.it/4VZ8
2023-03-16,Scream,1996,https://boxd.it/24EC
2023-03-21,The Simpsons Movie,2007,https://boxd.it/6YU
2023-03-24,The Game,1997,https://boxd.it/26vC
2023-04-02,10 Things I Hate About You,1999,https://boxd.it/23AO
2023-04-09,The Departed,2006,https://boxd.it/28MA
2023-05-02,Pride & Prejudice,2005,https://boxd.it/24u8
2023-05-02,Doctor Sleep,2019,https://boxd.it/i5vI
2023-05-07,A Man Called Otto,2022,https://boxd.it/zl06
2023-05-11,Cha Cha Real Smooth,2022,https://boxd.it/uF8E
2023-05-15,Suzume,2022,https://boxd.it/yv7Y
2023-05-18,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
2023-05-18,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2023-05-21,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2023-05-22,Broker,2022,https://boxd.it/rDUU
2023-05-22,Avengers: Infinity War,2018,https://boxd.it/9vEe
