Date,Name,Year,Letterboxd URI
2021-11-08,The Day He Arrives,2011,https://boxd.it/31L8
2021-11-08,Burning,2018,https://boxd.it/hHUa
2021-11-08,Infernal Affairs,2002,https://boxd.it/1Vqw
2021-11-08,Rope,1948,https://boxd.it/28yo
2021-11-08,"Black Coal, Thin Ice",2014,https://boxd.it/7xaw
2021-11-08,Dope,2015,https://boxd.it/9Tho
2021-11-13,Bad Taste,1987,https://boxd.it/1Xq4
2021-11-15,The Lobster,2015,https://boxd.it/7tnw
2021-11-15,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2021-11-21,Underground,1995,https://boxd.it/1SOA
2021-11-23,The Kingdom of Dreams and Madness,2013,https://boxd.it/7oOi
2021-11-23,Never-Ending Man: Hayao Miyazaki,2016,https://boxd.it/gqMw
2021-11-23,10 Years with Hayao Miyazaki,2019,https://boxd.it/wfpS
2021-11-28,Mirror,1975,https://boxd.it/28Q8
2021-12-07,The Humans,2021,https://boxd.it/lEQM
2021-12-07,Carol,2015,https://boxd.it/7DPK
2021-12-12,Holy Motors,2012,https://boxd.it/3wai
2021-12-13,The Pink Cloud,2021,https://boxd.it/tbjA
2021-12-13,Benedetta,2021,https://boxd.it/gdNQ
2021-12-14,The Big Sick,2017,https://boxd.it/eHvy
2021-12-17,The Velvet Underground,2021,https://boxd.it/jPXA
2021-12-25,Kotoko,2011,https://boxd.it/3030
2021-12-25,Pleasure,2021,https://boxd.it/lPcy
2021-12-27,The Tragedy of Macbeth,2021,https://boxd.it/lMi4
2021-12-27,Lamb,2021,https://boxd.it/tFwE
2021-12-27,Jackie,2016,https://boxd.it/d6bu
2021-12-27,Ema,2019,https://boxd.it/jHWa
2021-12-28,The Last Duel,2021,https://boxd.it/mQbe
2021-12-28,Hard Eight,1996,https://boxd.it/20DU
2021-12-28,Phantom Thread,2017,https://boxd.it/e4uc
2022-01-01,The Father,2020,https://boxd.it/m8Ie
2022-01-02,Blossoms Shanghai,,https://boxd.it/wNOi
2022-01-02,White Noise,2022,https://boxd.it/rXgK
2022-01-03,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm
2022-01-05,I Saw the Devil,2010,https://boxd.it/FaK
2022-01-08,I Blame Society,2020,https://boxd.it/oFBE
2022-01-08,Judas and the Black Messiah,2021,https://boxd.it/lsew
2022-01-08,No Sudden Move,2021,https://boxd.it/o7WS
2022-01-08,Promising Young Woman,2020,https://boxd.it/loRE
2022-01-09,Oasis,2002,https://boxd.it/1sO0
2022-01-09,King Richard,2021,https://boxd.it/mJZ2
2022-01-10,Flee,2021,https://boxd.it/ponM
2022-01-10,Mass,2021,https://boxd.it/eYAA
2022-01-10,Pig,2021,https://boxd.it/nzoW
2022-01-11,Yuni,2021,https://boxd.it/tXkw
2022-01-15,The Apartment,1960,https://boxd.it/2aGE
2022-01-15,Encanto,2021,https://boxd.it/kPRu
2022-01-17,Good Morning,1959,https://boxd.it/2lkk
2022-01-17,A Sun,2019,https://boxd.it/n3uo
2022-01-17,As Tears Go By,1988,https://boxd.it/1ybI
2022-01-17,Rashomon,1950,https://boxd.it/2a9K
2022-01-20,Dog Day Afternoon,1975,https://boxd.it/29bg
2022-01-23,"Oslo, August 31st",2011,https://boxd.it/2xQC
2022-01-23,Rebels of the Neon God,1992,https://boxd.it/mp2
2022-01-23,Vive L'Amour,1994,https://boxd.it/2wsa
2022-01-23,The House,2022,https://boxd.it/yVza
2022-01-29,Cinema Paradiso,1988,https://boxd.it/1UlA
2022-01-31,The Face of Another,1966,https://boxd.it/1nso
2022-02-02,Prayers for the Stolen,2021,https://boxd.it/oZhu
2022-02-05,Days,2020,https://boxd.it/oEE8
2022-02-05,Sleepless in Seattle,1993,https://boxd.it/29re
2022-02-05,The Grandmaster,2013,https://boxd.it/QU0
2022-02-06,mid90s,2018,https://boxd.it/fxIa
2022-02-06,Victoria,2015,https://boxd.it/amSe
2022-02-07,Rio Bravo,1959,https://boxd.it/2aE4
2022-02-07,The Wailing,2016,https://boxd.it/9fLy
2022-02-11,After Yang,2021,https://boxd.it/lx5a
2022-02-13,"Quo Vadis, Aida?",2020,https://boxd.it/riws
2022-02-22,Parallel Mothers,2021,https://boxd.it/sOP4
2022-03-06,Come and See,1985,https://boxd.it/1w9q
2022-03-14,Miracle on 34th Street,1947,https://boxd.it/1SRu
2022-03-14,The Shop Around the Corner,1940,https://boxd.it/1DFy
2022-03-14,Comfort and Joy,1984,https://boxd.it/1lEW
2022-04-09,Hard Boiled,1992,https://boxd.it/1T6a
2022-04-14,The Virgin Suicides,1999,https://boxd.it/28JG
2022-04-14,Mommy,2014,https://boxd.it/7Uau
2022-04-14,20th Century Women,2016,https://boxd.it/bqU6
2022-04-14,Submarine,2010,https://boxd.it/H4a
2022-04-18,Adaptation.,2002,https://boxd.it/26mA
2022-04-25,Suspiria,1977,https://boxd.it/1SNW
2022-04-27,India Song,1975,https://boxd.it/32HQ
2022-04-27,Do the Right Thing,1989,https://boxd.it/29gA
2022-04-29,Funny Games,1997,https://boxd.it/1WKM
2022-06-19,May 14th,2018,https://boxd.it/qKT8
2022-07-31,The Garden of Words,2013,https://boxd.it/5Ymq
2022-07-31,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2022-09-02,First Love,2019,https://boxd.it/m0iC
2022-09-15,Moonage Daydream,2022,https://boxd.it/A8Co
2022-09-22,Aloners,2021,https://boxd.it/ujeK
2022-09-28,Emergency Declaration,2021,https://boxd.it/nduy
2022-09-28,Resurrection,2022,https://boxd.it/wUKC
2022-09-30,Don't Worry Darling,2022,https://boxd.it/mViu
2022-10-06,To Kill a Mockingbird,1962,https://boxd.it/2a2E
2022-10-08,Almost Famous,2000,https://boxd.it/29CQ
2022-10-09,Eyes Wide Shut,1999,https://boxd.it/2axs
2022-10-10,The Innocents,1961,https://boxd.it/1KeY
2022-10-25,The Passengers of the Night,2022,https://boxd.it/xPBi
2022-11-03,All Quiet on the Western Front,2022,https://boxd.it/H08
2022-11-03,Waiting for Bojangles,2021,https://boxd.it/w7Ra
2022-11-09,"Comrades, Almost a Love Story",1996,https://boxd.it/18QU
2022-11-10,Murder on the Orient Express,1974,https://boxd.it/24IY
2022-11-10,Death on the Nile,1978,https://boxd.it/24I0
2022-11-10,Evil Under the Sun,1982,https://boxd.it/24HQ
2022-11-10,The Last of Sheila,1973,https://boxd.it/1u5G
2022-11-10,Deathtrap,1982,https://boxd.it/1IpU
2022-11-10,Gosford Park,2001,https://boxd.it/239e
2022-11-10,Le Samouraï,1967,https://boxd.it/22ZI
2022-11-10,Un Flic,1972,https://boxd.it/W8G
2022-11-20,The Trial,2018,https://boxd.it/i5aA
2022-11-20,The Edge of Democracy,2019,https://boxd.it/kLiA
2022-11-22,Sidewalls,2011,https://boxd.it/2EiM
2022-12-04,Atonement,2007,https://boxd.it/24ui
2022-12-05,TÁR,2022,https://boxd.it/uNIA
2022-12-15,France,2021,https://boxd.it/mdP0
2022-12-21,My Life as a Zucchini,2016,https://boxd.it/dL2y
2022-12-27,Zoolander,2001,https://boxd.it/1YMA
2022-12-31,The Last Boy Scout,1991,https://boxd.it/1YYQ
2023-01-16,The Neon Demon,2016,https://boxd.it/9AnW
2023-01-23,Holy Spider,2022,https://boxd.it/xBn2
2023-01-28,Black Orpheus,1959,https://boxd.it/11PU
2023-02-15,Belladonna of Sadness,1973,https://boxd.it/2q
2023-02-15,Daisies,1966,https://boxd.it/LZk
2023-02-22,RRR,2022,https://boxd.it/ljDs
2023-02-28,Tampopo,1985,https://boxd.it/1SZe
2023-03-11,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE
2023-03-14,The Housemaid,1960,https://boxd.it/WJs
2023-03-14,Stoker,2013,https://boxd.it/34S2
2023-03-16,Swiss Army Man,2016,https://boxd.it/bDG2
2023-03-16,Papillon,1973,https://boxd.it/22kK
2023-03-21,The Man Who Wasn't There,2001,https://boxd.it/1Vqc
2023-03-26,Following,1998,https://boxd.it/1Tj4
2023-03-26,In This Corner of the World,2016,https://boxd.it/d9kY
2023-03-30,Asteroid City,2023,https://boxd.it/s3ds
2023-04-18,BEEF,2023,https://boxd.it/FPsm
2023-04-18,No Bears,2022,https://boxd.it/ANxk
2023-05-03,The Princess Bride,1987,https://boxd.it/26EY
2023-05-11,Shithouse,2020,https://boxd.it/nCFc
